X   Y   Z   AngleHorizontal   AngleVertical    dist   reflectivity   lidarTimeNum
-7.137280e+00 7.785873e-02 -3.740712e-01 6.250000e-01 -3 7.147500e+00 127 7.1037650700e+02
-6.474304e+00 7.062650e-02 1.494800e+00 6.250000e-01 13 6.645000e+00 73 7.1037650700e+02
-7.148486e+00 7.798098e-02 -1.247847e-01 6.250000e-01 -1 7.150000e+00 170 7.1037650700e+02
-6.036677e+00 6.585255e-02 1.617619e+00 6.250000e-01 15 6.250000e+00 81 7.1037650700e+02
-1.127606e+00 1.594221e-02 -3.021712e-01 8.100000e-01 -15 1.167500e+00 32 7.1037650700e+02
-7.125702e+00 1.007440e-01 1.243920e-01 8.100000e-01 1 7.127500e+00 167 7.1037650700e+02
-5.050064e+00 7.139836e-02 2.646891e-01 8.100000e-01 3 5.057500e+00 152 7.1037650700e+02
-6.790818e+00 9.600933e-02 8.338910e-01 8.100000e-01 7 6.842500e+00 124 7.1037650700e+02
-4.421933e+00 6.251776e-02 7.004353e-01 8.100000e-01 9 4.477500e+00 84 7.1037650700e+02
-7.169395e+00 1.013617e-01 -6.273035e-01 8.100000e-01 -5 7.197500e+00 36 7.1037650700e+02
-4.497857e+00 6.359119e-02 8.743822e-01 8.100000e-01 11 4.582500e+00 109 7.1037650700e+02
-7.161955e+00 1.012565e-01 -3.753796e-01 8.100000e-01 -3 7.172500e+00 124 7.1037650700e+02
-5.940628e+00 8.398924e-02 1.371639e+00 8.100000e-01 13 6.097500e+00 81 7.1037650700e+02
-7.173190e+00 1.014153e-01 -1.252210e-01 8.100000e-01 -1 7.175000e+00 170 7.1037650700e+02
-6.106456e+00 8.633374e-02 1.636383e+00 8.100000e-01 15 6.322500e+00 86 7.1037650700e+02
-1.132379e+00 1.956805e-02 -3.034653e-01 9.900000e-01 -15 1.172500e+00 29 7.1037650700e+02
-7.170337e+00 1.239069e-01 1.251774e-01 9.900000e-01 1 7.172500e+00 166 7.1037650700e+02
